Lineage	Ploidy	Histone	dn	ds	dn_ds
Ax36G	3	H2A	3.115562442105619e-06	1.9059151108657378e-05	0.16346805921961624
Ax36G	3	H2B	2.7217754082064436e-06	3.844632188435863e-05	0.07079416898170854
Ax36G	3	H3	3.75397404116757e-06	1.6056337236679103e-05	0.2338001491767369
Ax36G	3	H4	4.198480238589968e-06	1.0946183838563259e-05	0.3835565253160447
BR2	2	H2A	1.0239021053639187e-05	0.00019180055884946367	0.05338368727942744
BR2	2	H2B	6.147271125012332e-06	0.0005641895263635722	0.01089575548244215
BR2	2	H3	6.274747039265594e-06	0.00011011756575640424	0.05698225343217475
BR2	2	H4	2.476296153407328e-05	0.0001837613084376828	0.1347561232808206
Br	3	H2A	1.023619760627318e-06	2.9092362732528772e-05	0.03518517110618821
Br	3	H2B	1.869118340366333e-06	5.358657346006273e-05	0.03488034818571407
Br	3	H3	8.98005086913097e-07	2.3435804963382953e-05	0.0383176549009593
Br	3	H4	1.7235246895749924e-06	1.777242505696549e-05	0.09697746278578323
GR12	4	H2A	3.018326450739837e-06	1.2445270055611696e-05	0.24252799957352822
GR12	4	H2B	4.49569088247564e-06	2.955431669191883e-05	0.15211621805842385
GR12	4	H3	2.5731319565381305e-06	1.2058896406196794e-05	0.21338038489292072
GR12	4	H4	3.3652213134492096e-06	1.519597393536333e-05	0.22145479636667648
GR15	2	H2A	6.887175619880948e-06	0.0001297690114838449	0.05307257519441258
GR15	2	H2B	4.060213951963744e-06	0.0006283399203085635	0.006461811227861927
GR15	2	H3	6.786088757392467e-06	7.488534081727363e-05	0.09061972187522094
GR15	2	H4	1.3269580371977203e-05	0.00016775306487116812	0.07910186548405566
GR6	3	H2A	2.544050680528827e-06	3.092254827730528e-06	0.8227170211570047
GR6	3	H2B	2.501104660893461e-06	1.0245590150686927e-05	0.2441152363220162
GR6	3	H3	2.4838782403088277e-06	4.760797819821526e-06	0.5217357120202059
GR6	3	H4	2.894077186730404e-06	4.202463787825278e-06	0.688662016580529
Gn1	4	H2A	9.187287816264051e-07	1.419427044207933e-05	0.06472532599511467
Gn1	4	H2B	2.017305648792906e-06	2.018366112220131e-05	0.09994745931271813
Gn1	4	H3	1.1043977422871633e-06	8.198796148517785e-06	0.13470242731755455
Gn1	4	H4	1.861802642025157e-06	5.327145694143568e-06	0.3494934715361627
